Time,Voltage,,,
2.936,16,,,
2.938,12,,,
2.94,14,,,
2.942,14,,,
2.944,10,,,
2.946,8,,,
2.948,12,,,
2.95,8,,,
2.952,4,,,
2.954,6,,,
2.956,2,,,
2.958,-2,,,
2.96,0,,,
2.962,0,,,
2.964,-6,,,
2.966,-4,,,
2.968,-4,,,
2.97,-6,,,
2.972,-6,,,
2.974,-6,,,
2.976,-8,,,
2.978,-10,,,
2.98,-10,,,
2.982,-10,,,
2.984,-8,,,
2.986,-10,,,
2.988,-10,,,
2.99,-6,,,
2.992,-4,,,
2.994,-10,,,
2.996,-6,,,
2.998,-2,,,
3,-6,,,
3.002,-10,,,
3.004,-6,,,
3.006,-8,,,
3.008,-12,,,
3.01,-12,,,
3.012,-14,,,
3.014,-16,,,
3.016,-18,,,
3.018,-18,,,
3.02,-20,,,
3.022,-20,,,
3.024,-18,,,
3.026,-20,,,
3.028,-20,,,
3.03,-18,,,
3.032,-20,,,
3.034,-18,,,
3.036,-18,,,
3.038,-18,,,
3.04,-18,,,
3.042,-14,,,
3.044,-18,,,
3.046,-18,,,
3.048,-18,,,
3.05,-20,,,
3.052,-20,,,
3.054,-20,,,
3.056,-20,,,
3.058,-18,,,
3.06,-18,,,
3.062,-18,,,
3.064,-16,,,
3.066,-16,,,
3.068,-18,,,
3.07,-16,,,
3.072,-18,,,
3.074,-20,,,
3.076,-20,,,
3.078,-20,,,
3.08,-20,,,
3.082,-18,,,
3.084,-18,,,
3.086,-20,,,
3.088,-20,,,
3.09,-18,,,
3.092,-18,,,
3.094,-16,,,
3.096,-14,,,
3.098,-12,,,
3.1,-10,,,
3.102,-8,,,
3.104,-10,,,
3.106,-8,,,
3.108,-6,,,
3.11,-12,,,
3.112,-12,,,
3.114,-10,,,
3.116,-12,,,
3.118,-16,,,
3.12,-10,,,
3.122,-12,,,
3.124,-14,,,
3.126,-10,,,
3.128,-6,,,
3.13,-8,,,
3.132,-4,,,
3.134,0,,,
3.136,-2,,,
3.138,0,,,
3.14,4,,,
3.142,2,,,
3.144,0,,,
3.146,4,,,
3.148,4,,,
3.15,0,,,
3.152,4,,,
3.154,2,,,
3.156,2,,,
3.158,6,,,
3.16,8,,,
3.162,8,,,
3.164,14,,,
3.166,14,,,
3.168,12,,,
3.17,18,,,
3.172,18,,,
3.174,14,,,
3.176,18,,,
3.178,18,,,
3.18,16,,,
3.182,14,,,
3.184,18,,,
3.186,14,,,
3.188,12,,,
3.19,16,,,
3.192,12,,,
3.194,14,,,
3.196,18,,,
3.198,16,,,
3.2,18,,,
3.202,24,,,
3.204,24,,,
3.206,24,,,
3.208,26,,,
3.21,30,,,
3.212,28,,,
3.214,28,,,
3.216,30,,,
3.218,28,,,
3.22,30,,,
3.222,30,,,
3.224,28,,,
3.226,30,,,
3.228,32,,,
3.23,30,,,
3.232,30,,,
3.234,34,,,
3.236,32,,,
3.238,32,,,
3.24,34,,,
3.242,36,,,
3.244,36,,,
3.246,36,,,
3.248,36,,,
3.25,36,,,
3.252,36,,,
3.254,36,,,
3.256,38,,,
3.258,36,,,
3.26,36,,,
3.262,36,,,
3.264,36,,,
3.266,36,,,
3.268,36,,,
3.27,36,,,
3.272,36,,,
3.274,36,,,
3.276,36,,,
3.278,36,,,
3.28,36,,,
3.282,36,,,
3.284,36,,,
3.286,36,,,
3.288,36,,,
3.29,36,,,
3.292,34,,,
3.294,34,,,
3.296,34,,,
3.298,34,,,
3.3,34,,,
3.302,34,,,
3.304,32,,,
3.306,32,,,
3.308,32,,,
3.31,30,,,
3.312,32,,,
3.314,30,,,
3.316,30,,,
3.318,30,,,
3.32,30,,,
3.322,28,,,
3.324,28,,,
3.326,26,,,
3.328,22,,,
3.33,22,,,
3.332,20,,,
3.334,18,,,
3.336,12,,,
3.338,14,,,
3.34,12,,,
3.342,12,,,
3.344,12,,,
3.346,10,,,
3.348,12,,,
3.35,16,,,
3.352,16,,,
3.354,16,,,
3.356,20,,,
3.358,20,,,
3.36,18,,,
3.362,18,,,
3.364,18,,,
3.366,14,,,
3.368,12,,,
3.37,10,,,
3.372,8,,,
3.374,8,,,
3.376,6,,,
3.378,0,,,
3.38,0,,,
3.382,2,,,
3.384,-2,,,
3.386,-2,,,
3.388,2,,,
3.39,0,,,
3.392,-4,,,
3.394,0,,,
3.396,2,,,
3.398,0,,,
3.4,-2,,,
3.402,0,,,
3.404,0,,,
3.406,-4,,,
3.408,-6,,,
3.41,-8,,,
3.412,-10,,,
3.414,-12,,,
3.416,-16,,,
3.418,-16,,,
3.42,-16,,,
3.422,-18,,,
3.424,-18,,,
3.426,-18,,,
3.428,-18,,,
3.43,-18,,,
3.432,-18,,,
3.434,-18,,,
3.436,-18,,,
3.438,-18,,,
3.44,-16,,,
3.442,-16,,,
3.444,-14,,,
3.446,-14,,,
3.448,-16,,,
3.45,-18,,,
3.452,-18,,,
3.454,-18,,,
3.456,-20,,,
3.458,-20,,,
3.46,-20,,,
3.462,-18,,,
3.464,-18,,,
3.466,-18,,,
3.468,-18,,,
3.47,-18,,,
3.472,-18,,,
3.474,-20,,,
3.476,-18,,,
3.478,-20,,,
3.48,-18,,,
3.482,-18,,,
3.484,-18,,,
3.486,-18,,,
3.488,-18,,,
3.49,-18,,,
3.492,-16,,,
3.494,-14,,,
3.496,-16,,,
3.498,-14,,,
3.5,-12,,,
3.502,-12,,,
3.504,-10,,,
3.506,-10,,,
3.508,-10,,,
3.51,-8,,,
3.512,-6,,,
3.514,-10,,,
3.516,-10,,,
3.518,-8,,,
3.52,-10,,,
3.522,-12,,,
3.524,-6,,,
3.526,-8,,,
3.528,-10,,,
3.53,-6,,,
3.532,-2,,,
3.534,-6,,,
3.536,0,,,
3.538,0,,,
3.54,0,,,
3.542,2,,,
3.544,4,,,
3.546,4,,,
3.548,4,,,
3.55,6,,,
3.552,2,,,
3.554,4,,,
3.556,8,,,
3.558,2,,,
3.56,2,,,
3.562,6,,,
3.564,4,,,
3.566,4,,,
3.568,8,,,
3.57,10,,,
3.572,12,,,
3.574,16,,,
3.576,18,,,
3.578,18,,,
3.58,22,,,
3.582,22,,,
3.584,22,,,
3.586,26,,,
3.588,26,,,
3.59,22,,,
3.592,26,,,
3.594,26,,,
3.596,24,,,
3.598,22,,,
3.6,26,,,
3.602,24,,,
3.604,24,,,
3.606,26,,,
3.608,26,,,
3.61,26,,,
3.612,30,,,
3.614,30,,,
3.616,32,,,
3.618,34,,,
3.62,34,,,
3.622,36,,,
3.624,36,,,
3.626,36,,,
3.628,36,,,
3.63,36,,,
3.632,36,,,
3.634,34,,,
3.636,34,,,
3.638,34,,,
3.64,34,,,
3.642,34,,,
3.644,34,,,
3.646,36,,,
3.648,34,,,
3.65,36,,,
3.652,36,,,
3.654,36,,,
3.656,36,,,
3.658,36,,,
3.66,36,,,
3.662,36,,,
3.664,34,,,
3.666,36,,,
3.668,34,,,
3.67,34,,,
3.672,34,,,
3.674,32,,,
3.676,32,,,
3.678,32,,,
3.68,32,,,
3.682,32,,,
3.684,34,,,
3.686,34,,,
3.688,32,,,
3.69,30,,,
3.692,32,,,
3.694,30,,,
3.696,28,,,
3.698,26,,,
3.7,24,,,
3.702,22,,,
3.704,22,,,
3.706,18,,,
3.708,16,,,
3.71,18,,,
3.712,16,,,
3.714,12,,,
3.716,16,,,
3.718,20,,,
3.72,18,,,
3.722,20,,,
3.724,22,,,
3.726,22,,,
3.728,22,,,
3.73,20,,,
3.732,18,,,
3.734,18,,,
3.736,18,,,
3.738,12,,,
3.74,10,,,
3.742,10,,,
3.744,6,,,
3.746,2,,,
3.748,2,,,
3.75,2,,,
3.752,-2,,,
3.754,2,,,
3.756,2,,,
3.758,0,,,
3.76,2,,,
3.762,4,,,
3.764,0,,,
3.766,0,,,
3.768,2,,,
3.77,-2,,,
3.772,-4,,,
3.774,-6,,,
3.776,-8,,,
3.778,-10,,,
3.78,-12,,,
3.782,-14,,,
3.784,-14,,,
3.786,-14,,,
3.788,-14,,,
3.79,-16,,,
3.792,-14,,,
3.794,-14,,,
3.796,-16,,,
3.798,-14,,,
3.8,-14,,,
3.802,-16,,,
3.804,-14,,,
3.806,-14,,,
3.808,-14,,,
3.81,-14,,,
3.812,-14,,,
3.814,-16,,,
3.816,-16,,,
3.818,-16,,,
3.82,-18,,,
3.822,-18,,,
3.824,-18,,,
3.826,-20,,,
3.828,-18,,,
3.83,-18,,,
3.832,-18,,,
3.834,-18,,,
3.836,-20,,,
3.838,-18,,,
3.84,-18,,,
3.842,-20,,,
3.844,-20,,,
3.846,-18,,,
3.848,-18,,,
3.85,-18,,,
3.852,-18,,,
3.854,-18,,,
3.856,-18,,,
3.858,-16,,,
3.86,-16,,,
3.862,-16,,,
3.864,-14,,,
3.866,-12,,,
3.868,-14,,,
3.87,-12,,,
3.872,-10,,,
3.874,-10,,,
3.876,-10,,,
3.878,-10,,,
3.88,-10,,,
3.882,-10,,,
3.884,-10,,,
3.886,-10,,,
3.888,-12,,,
3.89,-8,,,
3.892,-10,,,
3.894,-10,,,
3.896,-4,,,
3.898,-6,,,
3.9,-6,,,
3.902,0,,,
3.904,0,,,
3.906,-2,,,
3.908,2,,,
3.91,2,,,
3.912,-2,,,
3.914,2,,,
3.916,2,,,
3.918,-2,,,
3.92,2,,,
3.922,2,,,
3.924,0,,,
3.926,2,,,
3.928,6,,,
3.93,2,,,
3.932,4,,,
3.934,12,,,
3.936,10,,,
3.938,10,,,
3.94,16,,,
3.942,18,,,
3.944,18,,,
3.946,22,,,
3.948,22,,,
3.95,22,,,
3.952,24,,,
3.954,24,,,
3.956,20,,,
3.958,22,,,
3.96,22,,,
3.962,20,,,
3.964,22,,,
3.966,22,,,
3.968,22,,,
3.97,22,,,
3.972,24,,,
3.974,24,,,
3.976,26,,,
3.978,28,,,
3.98,28,,,
3.982,30,,,
3.984,30,,,
3.986,32,,,
3.988,32,,,
3.99,32,,,
3.992,34,,,
3.994,32,,,
3.996,32,,,
3.998,34,,,
4,32,,,
4.002,32,,,
4.004,32,,,
4.006,32,,,
4.008,32,,,
4.01,34,,,
4.012,34,,,
4.014,36,,,
4.016,34,,,
4.018,36,,,
4.02,36,,,
4.022,36,,,
4.024,36,,,
4.026,36,,,
4.028,36,,,
4.03,36,,,
4.032,36,,,
4.034,36,,,
4.036,36,,,
4.038,36,,,
4.04,36,,,
4.042,36,,,
4.044,36,,,
4.046,38,,,
4.048,36,,,
4.05,36,,,
4.052,36,,,
4.054,36,,,
4.056,36,,,
4.058,36,,,
4.06,34,,,
4.062,34,,,
4.064,32,,,
4.066,32,,,
4.068,30,,,
4.07,30,,,
4.072,30,,,
4.074,30,,,
4.076,30,,,
4.078,30,,,
4.08,30,,,
4.082,32,,,
4.084,32,,,
4.086,30,,,
4.088,30,,,
4.09,30,,,
4.092,30,,,
4.094,26,,,
4.096,26,,,
4.098,26,,,
4.1,24,,,
4.102,22,,,
4.104,20,,,
4.106,18,,,
4.108,14,,,
4.11,14,,,
4.112,14,,,
4.114,14,,,
4.116,12,,,
4.118,16,,,
4.12,14,,,
4.122,14,,,
4.124,16,,,
4.126,16,,,
4.128,16,,,
4.13,14,,,
4.132,12,,,
4.134,12,,,
4.136,8,,,
4.138,6,,,
4.14,4,,,
4.142,4,,,
4.144,2,,,
4.146,-2,,,
4.148,0,,,
4.15,-4,,,
4.152,-4,,,
4.154,-4,,,
4.156,-4,,,
4.158,-4,,,
4.16,-4,,,
4.162,-4,,,
4.164,-4,,,
4.166,-4,,,
4.168,-4,,,
4.17,-4,,,
4.172,-4,,,
4.174,-6,,,
4.176,-8,,,
4.178,-8,,,
4.18,-10,,,
4.182,-12,,,
4.184,-12,,,
4.186,-14,,,
4.188,-14,,,
4.19,-16,,,
4.192,-16,,,
4.194,-18,,,
4.196,-18,,,
4.198,-16,,,
4.2,-18,,,
4.202,-18,,,
4.204,-16,,,
4.206,-18,,,
4.208,-18,,,
4.21,-16,,,
4.212,-18,,,
4.214,-18,,,
4.216,-18,,,
4.218,-18,,,
4.22,-18,,,
4.222,-18,,,
4.224,-18,,,
4.226,-20,,,
4.228,-18,,,
4.23,-20,,,
4.232,-18,,,
4.234,-20,,,
4.236,-20,,,
4.238,-18,,,
4.24,-18,,,
4.242,-20,,,
4.244,-18,,,
4.246,-18,,,
4.248,-20,,,
4.25,-18,,,
4.252,-18,,,
4.254,-18,,,
4.256,-18,,,
4.258,-18,,,
4.26,-18,,,
4.262,-16,,,
4.264,-14,,,
4.266,-14,,,
4.268,-14,,,
4.27,-10,,,
4.272,-12,,,
4.274,-12,,,
4.276,-8,,,
4.278,-8,,,
4.28,-10,,,
4.282,-8,,,
4.284,-8,,,
4.286,-8,,,
4.288,-8,,,
4.29,-10,,,
4.292,-8,,,
4.294,-8,,,
4.296,-8,,,
4.298,-8,,,
4.3,-6,,,
4.302,-4,,,
4.304,-6,,,
4.306,-2,,,
4.308,0,,,
4.31,0,,,
4.312,2,,,
4.314,4,,,
4.316,6,,,
4.318,4,,,
4.32,6,,,
4.322,4,,,
4.324,4,,,
4.326,4,,,
4.328,4,,,
4.33,6,,,
4.332,4,,,
4.334,4,,,
4.336,6,,,
4.338,8,,,
4.34,8,,,
4.342,12,,,
4.344,16,,,
4.346,16,,,
4.348,18,,,
4.35,22,,,
4.352,22,,,
4.354,20,,,
4.356,22,,,
4.358,22,,,
4.36,24,,,
4.362,24,,,
4.364,24,,,
4.366,26,,,
4.368,26,,,
4.37,26,,,
4.372,26,,,
4.374,26,,,
4.376,26,,,
4.378,26,,,
4.38,28,,,
4.382,30,,,
4.384,30,,,
4.386,32,,,
4.388,30,,,
4.39,32,,,
4.392,34,,,
4.394,34,,,
4.396,34,,,
4.398,36,,,
4.4,34,,,
4.402,34,,,
4.404,36,,,
4.406,34,,,
4.408,34,,,
4.41,32,,,
4.412,34,,,
4.414,34,,,
4.416,34,,,
4.418,34,,,
4.42,36,,,
4.422,36,,,
4.424,36,,,
4.426,36,,,
4.428,38,,,
4.43,36,,,
4.432,36,,,
4.434,36,,,
4.436,36,,,
4.438,36,,,
4.44,36,,,
4.442,36,,,
4.444,36,,,
4.446,36,,,
4.448,36,,,
4.45,36,,,
4.452,36,,,
4.454,36,,,
4.456,36,,,
4.458,36,,,
4.46,36,,,
4.462,34,,,
4.464,32,,,
4.466,30,,,
4.468,28,,,
4.47,28,,,
4.472,24,,,
4.474,26,,,
4.476,24,,,
4.478,24,,,
4.48,22,,,
4.482,26,,,
4.484,26,,,
4.486,24,,,
4.488,26,,,
4.49,26,,,
4.492,28,,,
4.494,28,,,
4.496,28,,,
4.498,26,,,
4.5,24,,,
4.502,24,,,
4.504,22,,,
4.506,18,,,
4.508,18,,,
4.51,14,,,
4.512,14,,,
4.514,12,,,
4.516,12,,,
4.518,8,,,
4.52,10,,,
4.522,10,,,
4.524,8,,,
4.526,6,,,
4.528,10,,,
4.53,10,,,
4.532,8,,,
4.534,10,,,
4.536,12,,,
4.538,10,,,
4.54,8,,,
4.542,8,,,
4.544,6,,,
4.546,4,,,
4.548,2,,,
4.55,0,,,
4.552,-2,,,
4.554,-4,,,
4.556,-8,,,
4.558,-8,,,
4.56,-10,,,
4.562,-10,,,
4.564,-10,,,
4.566,-10,,,
4.568,-10,,,
4.57,-12,,,
4.572,-12,,,
4.574,-10,,,
4.576,-10,,,
4.578,-10,,,
4.58,-10,,,
4.582,-8,,,
4.584,-8,,,
4.586,-8,,,
4.588,-10,,,
4.59,-8,,,
4.592,-14,,,
4.594,-14,,,
4.596,-14,,,
4.598,-16,,,
4.6,-18,,,
4.602,-18,,,
4.604,-18,,,
4.606,-18,,,
4.608,-18,,,
4.61,-20,,,
4.612,-20,,,
4.614,-20,,,
4.616,-18,,,
4.618,-20,,,
4.62,-18,,,
4.622,-18,,,
4.624,-18,,,
4.626,-20,,,
4.628,-18,,,
4.63,-20,,,
4.632,-18,,,
4.634,-20,,,
4.636,-18,,,
4.638,-18,,,
4.64,-20,,,
4.642,-20,,,
4.644,-16,,,
4.646,-16,,,
4.648,-18,,,
4.65,-18,,,
4.652,-18,,,
4.654,-16,,,
4.656,-16,,,
4.658,-16,,,
4.66,-14,,,
4.662,-14,,,
4.664,-14,,,
4.666,-14,,,
4.668,-12,,,
4.67,-14,,,
4.672,-12,,,
4.674,-10,,,
4.676,-14,,,
4.678,-12,,,
4.68,-10,,,
4.682,-10,,,
4.684,-12,,,
4.686,-10,,,
4.688,-10,,,
4.69,-10,,,
4.692,-6,,,
4.694,-8,,,
4.696,-8,,,
4.698,-4,,,
4.7,-6,,,
4.702,-6,,,
4.704,-2,,,
4.706,0,,,
4.708,-2,,,
4.71,4,,,
4.712,8,,,
4.714,6,,,
4.716,8,,,
4.718,12,,,
4.72,12,,,
4.722,8,,,
4.724,12,,,
4.726,10,,,
4.728,8,,,
4.73,8,,,
4.732,8,,,
4.734,6,,,
4.736,6,,,
4.738,6,,,
4.74,8,,,
4.742,10,,,
4.744,12,,,
4.746,12,,,
4.748,18,,,
4.75,20,,,
4.752,18,,,
4.754,22,,,
4.756,22,,,
4.758,22,,,
4.76,22,,,
4.762,24,,,
4.764,22,,,
4.766,26,,,
4.768,26,,,
4.77,24,,,
4.772,24,,,
4.774,26,,,
4.776,24,,,
4.778,-256,,,
4.78,-256,,,
4.782,-256,,,
4.784,-256,,,
4.786,-256,,,
4.788,-256,,,
4.79,-256,,,
4.792,-256,,,
4.794,-256,,,
4.796,-256,,,
4.798,-256,,,
4.8,-256,,,
4.802,-256,,,
4.804,-256,,,
4.806,-256,,,
4.808,-256,,,
4.81,-256,,,
4.812,-256,,,
4.814,-256,,,
4.816,-256,,,
4.818,-256,,,
4.82,-256,,,
4.822,-256,,,
4.824,-256,,,
4.826,-256,,,
4.828,-256,,,
4.83,-256,,,
4.832,-256,,,
4.834,-256,,,
4.836,-256,,,
4.838,-256,,,
4.84,-256,,,
4.842,-256,,,
4.844,-256,,,
4.846,-256,,,
4.848,-256,,,
4.85,-256,,,
4.852,-256,,,
4.854,-256,,,
4.856,-256,,,
4.858,-256,,,
4.86,-256,,,
4.862,-256,,,
4.864,-256,,,
4.866,-256,,,
4.868,-256,,,
4.87,-256,,,
4.872,-256,,,
4.874,-256,,,
4.876,-256,,,
4.878,-256,,,
4.88,-256,,,
4.882,-256,,,
4.884,-256,,,
4.886,-256,,,
4.888,-256,,,
4.89,-256,,,
4.892,-256,,,
4.894,-256,,,
4.896,-256,,,
4.898,-256,,,
4.9,-256,,,
4.902,-256,,,
4.904,-256,,,
4.906,-256,,,
4.908,-256,,,
4.91,-256,,,
4.912,-256,,,
4.914,-256,,,
4.916,-256,,,
4.918,-256,,,
4.92,-256,,,
4.922,-256,,,
4.924,-256,,,
4.926,-256,,,
4.928,-256,,,
4.93,-256,,,
4.932,-256,,,
4.934,-256,,,
4.936,-256,,,
4.938,-256,,,
4.94,-256,,,
4.942,-256,,,
4.944,-256,,,
4.946,-256,,,
4.948,-256,,,
4.95,-256,,,
4.952,-256,,,
4.954,-256,,,
4.956,-256,,,
4.958,-256,,,
4.96,-256,,,
4.962,-256,,,
4.964,-256,,,
4.966,-256,,,
4.968,-256,,,
4.97,-256,,,
4.972,-256,,,
4.974,-256,,,
4.976,-256,,,
4.978,-256,,,
4.98,-256,,,
4.982,-256,,,
4.984,-256,,,
4.986,-256,,,
4.988,-256,,,
4.99,-256,,,
4.992,-256,,,
4.994,-256,,,
4.996,-256,,,
4.998,-256,,,
